DENOM_CIA;CD_CVM
MRV ENGENHARIA E PARTICIPACOES S.A.;20915
ALUPAR INVESTIMENTO S/A;21490
GSH CORP PARTICIPAÇÕES S.A.;26603
GUARARAPES CONFECCOES S.A.;4669
CPFL ENERGIAS RENOVÁVEIS S.A.;20540
RENOVA ENERGIA S.A. - EM RECUPERAÇÃO JUDICIAL;21636
CIA CELG DE PARTICIPACOES - CELGPAR;21393
PRÁTICA PRODUTOS S.A.;24546
NEXPE PARTICIPAÇÕES S.A;21180
GENERAL SHOPPING E OUTLETS DO BRASIL BRASIL S.A.;21008
VIRGO COMPANHIA DE SECURITIZAÇÃO;20818
BRASILIANA PARTICIPAÇÕES S/A;23930
CURY CONSTRUTORA E INCORPORADORA S.A.;25100
SYN PROP & TECH S.A.;21040
YDUQS PARTICIPACOES S.A.;21016
TRISUL S.A.;21130
AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.;23396
ECORODOVIAS CONCESSÕES E SERVIÇOS S.A.;21903
CSN MINERAÇÃO S.A.;25585
MULTINER S/A;21520
LOG COMMERCIAL PROPERTIES E PARTICIPAÇÕES;23272
BEMOBI MOBILE TECH S.A.;25500
ELFA MEDICAMENTOS S.A.;25348
INBRANDS S.A.;22560
OSX BRASIL S.A. - EM RECUPERAÇÃO JUDICIAL;21342
OCEANPACT SERVIÇOS MARITIMOS S.A.;25534
KALLAS INCORPORAÇÕES E CONSTRUÇÕES S.A.;25798
SERENA GERAÇÃO S.A.;23426
GPS PARTICIPAÇÕES E EMPREENDIMENTOS S.A.;25712
YUNY INCORPORADORA HOLDING S.A.;25976
ANIMA HOLDING S.A.;23248
TECHNOS S.A.;22519
AZUL S.A.;24112
B3 S.A. - BRASIL, BOLSA, BALCÃO;21610
ELETROMIDIA S.A.;25569
ASA BRANCA HOLDING S.A.;26514
BRASIL BIOFUELS S.A.;27375
ENVIRONMENTAL ESG PARTICIPAÇÕES S.A.;26271
INC EMPREENDIMENTOS IMOBILIÁRIOS S.A.;24279
W2W E-COMMERCE DE VINHOS S.A.;25852
NEOGRID PARTICIPAÇÕES S.A.;25399
COMPANHIA DE LOCAÇÃO DAS AMÉRICAS;22691
GRUPO DE MODA SOMA S.A.;25011
URBA DESENVOLVIMENTO URBANO S.A.;25437
PRIO S.A.;22187
BR ADVISORY PARTNERS PARTICIPAÇÕES S.A.;25860
CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS S.A.;23310
BOA SAFRA SEMENTES S.A.;25704
YOU INC INCORPORADORA E PARTICIPAÇÃO S.A;23604
ORIZON VALORIZAÇÃO DE RESÍDUOS S.A.;25550
ENAUTA PARTICIPAÇÕES S.A.;22365
