DENOM_CIA;CD_CVM
JP PARTICIPAÇÕES S.A.;23299
FINPAR PARTICIPAÇÕES S/A;23116
BB SEGURIDADE PARTICIPAÇÕES S.A.;23159
ISEC BRASIL SECURITIZADORA S/A;23337
MGI - MINAS GERAIS PARTICIPAÇÕES S.A.;22942
TECNOSOLO ENGENHARIA S.A. - EMPRESA FALIDA;11207
COMPANHIA DE CRÉDITO FINANCIAMENTO E INVESTIMENTO RCI BRASIL;22993
UNIDAS LOCAÇÕES E SERVIÇOS S.A.;23280
UNICASA INDÚSTRIA DE MÓVEIS S.A.;22780
LIBRA TERMINAL RIO S.A. - EM RECUPERAÇÃO JUDICIAL;23434
BANCO SANTANDER S.A.;80160
CLARO TELECOM PARTICIPAÇÕES S.A.;23531
RJ CAPITAL PARTNERS S.A.;22330
AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.;23396
DOMMO ENERGIA S.A.;23493
SERENA GERAÇÃO S.A.;23426
SMILES S.A.;23140
INTERNATIONAL MEAL COMPANY ALIMENTACAO S.A.;23574
COSAN LOGISTICA S.A.;23485
OURO FINO SAUDE ANIMAL PARTICIPACOES S.A.;23507
COBRASMA S.A.;4448
RUMO LOGÍSTICA OPERADORA MULTIMODAL S.A.;23450
CIA INDUSTRIAL SCHLOSSER S.A.;3549
CIA ESTADUAL DE TRANSMISSÃO DE ENERGIA ELETRICA - CEEE-T;3204
RIO PARANAPANEMA ENERGIA S.A.;18368
FORNO DE MINAS ALIMENTOS S.A.;23736
BS&C EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;23779
PRÁTICA PARTICIPAÇÕES S/A;23728
BR HOME CENTERS S.A.;23710
YOU INC INCORPORADORA E PARTICIPAÇÃO S.A;23604
CBO HOLDING S.A.;23620
MOVIDA PARTICIPACOES SA;23825
CAIXA SEGURIDADE PARTICIPAÇÕES S.A.;23795
QUALITY SOFTWARE S.A.;23302
BRQ SOLUCOES EM INFORMATICA S.A.;23817
WIZ CO PARTICIPAÇÕES E CORRETAGEM DE SEGUROS S.A.;23590
CINESYSTEM S.A.;23965
BRASILIANA PARTICIPAÇÕES S/A;23930
SUGOI S.A.;23957
CONCEBRA - CONCESSIONARIA DAS RODOVIAS CENTRAIS DO BRASIL;23868
INSTITUTO HERMES PARDINI S.A.;24090
VERT COMPANHIA SECURITIZADORA;23990
ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.;24058
BLUE TECH SOLUTIONS EQI S.A.;12319
BANCO RCI BRASIL S.A.;21466
ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;15423
SMILES FIDELIDADE S.A.;24252
SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.;24260
VIRGO COMPANHIA DE SECURITIZAÇÃO;20818
AZUL S.A.;24112
FLEX GESTÃO DE RELACIONAMENTOS S.A.-EM RECUPERAÇÃO JUDICIAL;24350
ZAMP SA;24317
PRINER SERVIÇOS INDUSTRIAIS S.A.;24236
BIOTOSCANA INVESTMENTS S.A.;80179
ARGO ENERGIA EMPREENDIMENTOS E PARTICIPAÇÕES S/A;24120
IRB - BRASIL RESSEGUROS S.A.;24180
VIBRA ENERGIA S/A;24295
CAMIL ALIMENTOS S.A.;24228
ATACADÃO S.A.;24171
STARA S.A. - INDÚSTRIA DE IMPLEMENTOS AGRÍCOLAS;24201
BBM LOGÍSTICA S.A.;24660
DASS NORDESTE CALÇADOS E ARTIGOS ESPORTIVOS S.A;24414
SABER SERVIÇOS EDUCACIONAIS S.A.;24490
HAPVIDA PARTICIPAÇÕES E INVESTIMENTOS S.A.;24392
CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;23981
JHSF MALLS S.A.;24473
PRÁTICA PRODUTOS S.A.;24546
INC EMPREENDIMENTOS IMOBILIÁRIOS S.A.;24279
NOTRE DAME INTERMÉDICA PARTICIPAÇÕES S.A.;24384
BLAU FARMACÊUTICA S.A.;24627
MULTILASER INDUSTRIAL S.A.;902123
BANCO BMG S/A;24600
ELECTRO ACO ALTONA S.A.;5380
LOCALIZA FLEET S.A.;24813
LWSA S/A;24910
LIFEMED INDUSTRIAL DE EQUIP. E ART. MEDICOS E HOSP. S.A;24872
COPEL GERAÇÃO E TRANSMISSÃO S.A.;24740
REDE D'OR SÃO LUIZ S.A.;24821
MITRE REALTY EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;24902
MAESTRO LOCADORA DE VEICULOS S.A.;23612
GRUPO SBF S.A.;24694
BCBF PARTICIPAÇÕES S.A.;24775
VAMOS LOCAÇÃO DE CAMINHÕES, MÁQUINAS E EQUIPAMENTOS S.A.;24716
VENTURE CAPITAL PARTICIPAÇÕES E INVESTIMENTOS S/A;24309
BRK AMBIENTAL PARTICIPAÇÕES S.A.;24830
ENERGISA TRANSMISSÃO DE ENERGIA S/A;24589
CELEO REDES TRANSMISSÃO DE ENERGIA S.A.;24597
NATURA &CO HOLDING S.A.;24783
VIVARA PARTICIPAÇÕES S.A.;24805
UP ENGENHARIA E URBANISMO S.A.;24856
C&A MODAS S.A.;24848
METALURGICA RIOSULENSE S.A.;13439
LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;24880
SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;25160
JALLES MACHADO S.A.;25496
MASSA FALIDA DA MMX MINERACAO E METALICOS S.A.;17914
GRUPO FARTURA DE HORTIFRUT S.A.;26166
SENDAS DISTRIBUIDORA S.A.;25372
SBF COMÉRCIO DE PRODUTOS ESPORTIVOS S.A.;25410
SIMPAR S.A.;25003
AURA MINERALS INC.;80187
2W ECOBANK S.A.;25224
CURY CONSTRUTORA E INCORPORADORA S.A.;25100
CSN MINERAÇÃO S.A.;25585
BEMOBI MOBILE TECH S.A.;25500
ELFA MEDICAMENTOS S.A.;25348
MOSAICO TECNOLOGIA AO CONSUMIDOR S.A.;25470
OCEANPACT SERVIÇOS MARITIMOS S.A.;25534
KALLAS INCORPORAÇÕES E CONSTRUÇÕES S.A.;25798
ELETROMIDIA S.A.;25569
W2W E-COMMERCE DE VINHOS S.A.;25852
NEOGRID PARTICIPAÇÕES S.A.;25399
GRUPO DE MODA SOMA S.A.;25011
URBA DESENVOLVIMENTO URBANO S.A.;25437
ORIZON VALORIZAÇÃO DE RESÍDUOS S.A.;25550
3R PETROLEUM ÓLEO E GÁS S.A.;25291
D1000 VAREJO FARMA PARTICIPAÇÕES S.A.;25046
MELNICK DESENVOLVIMENTO IMOBILIÁRIO S.A.;25119
AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.;25283
AMBIPAR PARTICIPAÇÕES E EMPREENDIMENTOS S.A.;24961
MÉLIUZ S.A.;25232
GRANBIO INVESTIMENTOS S.A.;25321
PARANA BCO S.A.;20729
HBR REALTY EMPREENDIMENTOS IMOBILIÁRIOS S.A.;25402
